T=26.43°C, P=99615.25 Pa, time=360626, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99614.97 Pa, time=368476, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.19 Pa, time=376329, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99614.34 Pa, time=384183, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99614.76 Pa, time=392038, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.18 Pa, time=399889, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.00 Pa, time=407745, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.39 Pa, time=415599, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.76 Pa, time=423459, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99614.31 Pa, time=431321, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.05 Pa, time=439181, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.71 Pa, time=447041, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.46 Pa, time=454899, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.77 Pa, time=462761, min_P=99612.65, max_P=99620.14
T=26.43°C, P=99615.92 Pa, time=470614, min_P=99612.65, max_P=99620.14
